ICAO_Code,Airport_Name,City_Town,Country,Latitude_Decimal_Degrees,Longitude_Decimal_Degrees
MMCZ,COZUMEL INTERNATIONAL,COZUMEL,MEXICO,20.522,-86.926
MMDM,CIUDAD MANTE,CIUDAD MANTE,MEXICO,22.74,-99.01799999999999
MMDO,DURANGO INTERNATIONAL,DURANGO,MEXICO,24.124000000000002,-104.52799999999999
MMEP,TEPIC,TEPIC,MEXICO,21.419,-104.84299999999999
MMES,GENERAL ALBERTO L SALINAS C INTERNATIONAL,ENSENADA,MEXICO,31.795,-116.602
MMGL,DON MIGUEL Y HIDALGO INTERNATIONAL,GUADALAJARA,MEXICO,20.522,-103.311
MMGM,GENERAL JOSE MARIA YANEZ INTERNATIONAL,GUAYMAS,MEXICO,27.969,-110.925
MMHC,TEHUACAN,TEHUACAN,MEXICO,18.497,-97.42
MMHO,GENERAL IGNACIO P GARCIA INTERNATIONAL,HERMOSILLO,MEXICO,29.096,-111.04799999999999
MMIA,COLIMA,COLIMA,MEXICO,19.277,-103.57700000000001
MMIM,ISLA MUJERES,ISLA MUJERES,MEXICO,21.245,-86.74
MMIO,PLAN DE GUADALUPE INTERNATIONAL,SALTILLO,MEXICO,25.549,-100.929
MMIT,IXTEPEC,IZTEPEC,MEXICO,16.449,-95.094
MMJA,LENCERO,JALAPA,MEXICO,19.475,-96.79700000000001
MMLC,LAZARO CARDENAS,LAZARD CARDENAS,MEXICO,18.002,-102.22
MMLM,VALLE DEL FUERTE INTERNATIONAL,LOS MOCHIS,MEXICO,25.685,-109.081
MMLO,DE GUANAJUATO INTERNATIONAL,DEL BAJIO,MEXICO,20.993000000000002,-101.48100000000001
MMLP,GENERAL MANUEL MARQUEZ DE LEON INTERNATIONAL,LA PAZ,MEXICO,24.072,-110.36200000000001
MMLT,LORETO INTERNATIONAL,LORETO,MEXICO,25.989,-111.348
MMMA,GENERAL SERVANDO CANALES INTERNATIONAL,MATAMOROS,MEXICO,25.77,-97.525
MMMD,LICENCIADO MANUEL CRECENCIO REJON INTERNATIONAL,MERIDA,MEXICO,20.936999999999998,-89.65700000000001
MMML,GENERAL RODOLFO SANCHEZ TABOADA INTERNATIONAL,MEXICALI,MEXICO,32.631,-115.241
MMMM,GENERAL FRANCISCO J MUJICA,MORELIA,MEXICO,19.85,-101.025
MMMT,MINATITLAN,MINATITLAN,MEXICO,18.102999999999998,-94.581
